Designator,Val,Package,MidX,MidY,Rotation,Layer
"C7","300n","C_0402_1005Metric",130.500000,-99.300000,0.000000,bottom
"C8","300n","C_0402_1005Metric",136.280000,-62.200000,0.000000,bottom
"C9","10u","C_0805_2012Metric",123.650000,-62.500000,0.000000,bottom
"C10","100n","C_0402_1005Metric",88.270000,-77.400000,0.000000,bottom
"C11","100n","C_0402_1005Metric",88.270000,-76.450000,0.000000,bottom
"C12","300n","C_0402_1005Metric",111.960589,-95.780589,90.000000,bottom
"C13","100n","C_0402_1005Metric",147.600000,-95.920000,-90.000000,bottom
"C14","300n","C_0402_1005Metric",119.200000,-69.800000,0.000000,bottom
"C15","1u","C_0402_1005Metric",130.420000,-76.400000,180.000000,bottom
"C16","1u","C_0402_1005Metric",124.000000,-69.400000,180.000000,bottom
"C17","300n","C_0402_1005Metric",138.800000,-98.800000,-90.000000,bottom
"C18","300n","C_0402_1005Metric",133.100000,-69.600000,0.000000,bottom
"C19","1u","C_0402_1005Metric",118.760589,-100.260589,135.000000,bottom
"C24","100n","R_0402_1005Metric",86.310000,-66.700000,180.000000,bottom
"C29","100n","C_0402_1005Metric",152.000000,-140.950000,-90.000000,bottom
"C31","1u","C_0402_1005Metric",150.500000,-142.450000,180.000000,bottom
"C40","100n","C_0402_1005Metric",173.400000,-84.350000,0.000000,bottom
"C41","100n","C_0402_1005Metric",173.400000,-83.330000,0.000000,bottom
"C42","100n","C_0402_1005Metric",169.150000,-82.850000,90.000000,bottom
"C43","100n","C_0402_1005Metric",168.150000,-82.830000,90.000000,bottom
"C45","100n","C_0402_1005Metric",90.000000,-79.280000,-90.000000,bottom
"C46","100n","C_0402_1005Metric",91.000000,-79.320000,-90.000000,bottom
"C47","10u","C_1210_3225Metric",103.500000,-89.525000,90.000000,bottom
"C48","1u","C_0402_1005Metric",139.620000,-103.900000,180.000000,bottom
"C49","10u","C_1210_3225Metric",99.025000,-73.000000,180.000000,bottom
"C50","100n","R_0402_1005Metric",173.490000,-88.000000,0.000000,bottom
"C51","10u","C_1210_3225Metric",103.000000,-76.975000,-90.000000,bottom
"C55","10u","C_1210_3225Metric",159.775000,-73.500000,0.000000,bottom
"C56","10u","C_1210_3225Metric",156.500000,-77.500000,-90.000000,bottom
"C57","10u","C_1210_3225Metric",157.000000,-88.975000,90.000000,bottom
"C61","100n","C_0402_1005Metric",147.200000,-66.880000,-90.000000,bottom
"C64","300n","C_0402_1005Metric",111.500000,-99.280000,90.000000,bottom
"C65","300n","C_0402_1005Metric",127.580000,-65.300000,180.000000,bottom
"C68","C_Small","C_0402_1005Metric",106.800000,-92.400000,90.000000,bottom
"C69","C_Small","C_0402_1005Metric",107.000000,-74.880000,90.000000,bottom
"C70","C_Small","C_0402_1005Metric",153.200000,-93.320000,-90.000000,bottom
"C71","C_Small","C_0402_1005Metric",153.000000,-72.800000,-90.000000,bottom
"D1","B110WS","SOD-323_L1.7-W1.3-LS2.5-FD",97.200000,-98.000000,-90.000000,bottom
"D2","B110WS","SOD-323_L1.7-W1.3-LS2.5-FD",161.800000,-98.000000,-90.000000,bottom
"D3","B110WS","SOD-323_L1.7-W1.3-LS2.5-FD",121.460000,-99.250000,0.000000,bottom
"D4","B110WS","SOD-323_L1.7-W1.3-LS2.5-FD",126.400000,-68.600000,90.000000,bottom
"D5","D_Zener","D_SOD-123",119.760589,-94.860589,-90.000000,bottom
"D6","D_Zener","D_SOD-123",113.000000,-71.200000,180.000000,bottom
"D7","D_Zener","D_SOD-123",142.000000,-98.600000,0.000000,bottom
"D8","D_Zener","D_SOD-123",133.450000,-67.700000,0.000000,bottom
"D9","B110WS","SOD-323_L1.7-W1.3-LS2.5-FD",123.500000,-96.060589,90.000000,bottom
"D10","B110WS","SOD-323_L1.7-W1.3-LS2.5-FD",123.240000,-66.800000,180.000000,bottom
"D11","B110WS","SOD-323_L1.7-W1.3-LS2.5-FD",132.300000,-100.240000,90.000000,bottom
"D12","B110WS","SOD-323_L1.7-W1.3-LS2.5-FD",140.800000,-100.400000,0.000000,bottom
"D13","B110WS","SOD-323_L1.7-W1.3-LS2.5-FD",131.600000,-64.000000,-90.000000,bottom
"D14","B110WS","SOD-323_L1.7-W1.3-LS2.5-FD",133.700000,-65.300000,90.000000,bottom
"D15","B110WS","SOD-323_L1.7-W1.3-LS2.5-FD",121.750000,-96.400000,90.000000,bottom
"D16","B110WS","SOD-323_L1.7-W1.3-LS2.5-FD",120.000000,-68.200000,180.000000,bottom
"D17","B110WS","SOD-323_L1.7-W1.3-LS2.5-FD",131.725000,-97.500000,0.000000,bottom
"D18","B110WS","SOD-323_L1.7-W1.3-LS2.5-FD",129.900000,-66.100000,0.000000,bottom
"D19","B16WS_C7420327","SOD-323_L1.7-W1.3-LS2.5-FD",170.400000,-141.800000,-90.000000,bottom
"D20","B16WS_C7420327","SOD-323_L1.7-W1.3-LS2.5-FD",152.150000,-91.500000,180.000000,bottom
"D21","B16WS_C7420327","SOD-323_L1.7-W1.3-LS2.5-FD",152.040000,-68.800000,180.000000,bottom
"D22","B16WS_C7420327","SOD-323_L1.7-W1.3-LS2.5-FD",107.800000,-94.200000,0.000000,bottom
"D23","B16WS_C7420327","SOD-323_L1.7-W1.3-LS2.5-FD",108.000000,-79.000000,0.000000,bottom
"D24","B16WS_C7420327","SOD-323_L1.7-W1.3-LS2.5-FD",113.400000,-85.200000,0.000000,bottom
"D25","B16WS_C7420327","SOD-323_L1.7-W1.3-LS2.5-FD",112.200000,-73.800000,0.000000,bottom
"D26","B16WS_C7420327","SOD-323_L1.7-W1.3-LS2.5-FD",146.365000,-91.400000,180.000000,bottom
